SMILES,Molecular_Weight,LogP,QED,Lipinski_H_Bond_Donors,Lipinski_H_Bond_Acceptors,Lipinski_Rule_Violation
COc1ccc(CN2C[C@@H](CNC(C)=O)[C@H](C)C2)cc1C,290.40700000000004,2.2076199999999995,0.9037541096453484,1,3,0
C[C@@H](C#N)C(=O)N1C[C@@H](O)[C@H](NC(=O)CCN2CCCCC2)C1,322.40900000000016,-0.29001999999999883,0.7249027950555027,2,5,0
CCOC(=O)NC(=S)N1CCCO[C@H](C(=O)OC)C1,290.341,0.2813000000000001,0.5779664895369401,1,6,0
CN(C)C(=O)CN1CC[C@@H]2CCN(C(=O)[C@@H]3CCO[C@H]3C3CC3)C[C@@H]21,349.4750000000001,0.812500000000002,0.75381755237985,0,4,0
CCC(CC)CN[C@@H]1CN(C(=O)c2cc(C)co2)C[C@@H]1C,292.42300000000006,3.074320000000002,0.8761545832186372,1,3,0
C[C@H]1CN(C(=O)c2cccc3c2OCCO3)CC[C@H]1NC(=O)C(N)=O,347.371,-0.09009999999999929,0.7265316710474274,2,5,0
CSCC[C@H](CO)NC(=O)/C=C\c1ccc(F)cc1,283.368,2.0690999999999997,0.7532072539708093,2,3,0
CCOC(=O)c1ccc(CNC(=O)[C@]2(C)C[C@H]3CC[C@H]2C3)o1,305.374,2.8988000000000014,0.8492999934388182,1,4,0
CC1(C)C[C@H]1C(=O)N[C@@H]1CN(Cc2ccns2)C[C@@H]1n1ccnn1,346.46000000000004,1.3223999999999994,0.8836621714883047,1,7,0
CS[C@H](C)C(=O)N[C@@H](C)CNC(=O)c1conc1C(C)C,313.42300000000006,1.7839999999999996,0.8014338028903711,2,5,0
CN(C(=O)C1(F)CCOCC1)C1CN(C(=O)[C@@H]2C[C@H]2C(=O)O)C1,328.3400000000001,-0.10499999999999893,0.7783190184913561,1,4,0
Cc1cc(C(=O)Nc2cc(C#N)ccn2)ncc1C(N)=O,281.27500000000003,1.0078999999999998,0.8688253471602976,2,5,0
C=C[C@H](O)C(=O)OCC(=O)Nc1ccc(OC)cc1[N+](=O)[O-],310.26200000000006,0.6319999999999997,0.3269624712643342,2,7,0
Cc1nc(NC(=O)[C@@H]2CCC(=O)C2)ccc1-c1ccccc1,294.354,3.364720000000002,0.9438806491940909,1,3,0
Cc1oc(CNC(=O)NCCN2CCC2)cc1C(=O)O,281.31199999999995,0.7911199999999998,0.7163654406626859,3,4,0
Cc1cncn1CC(=O)N1CC[C@H](NC(=O)CN2CCNC(=O)C2)C1,348.40700000000015,-1.6595799999999954,0.663564598325975,2,6,0
CC(C)OCC(=O)N[C@H]1CN(C(=O)CCCF)C[C@H]1C,288.363,1.1241999999999992,0.7636287165407143,1,3,0
CCN(CC)C(=O)CN(C)CCCNC(=O)CNC(N)=O,301.39099999999996,-1.0387999999999962,0.4479458398363589,3,4,0
C#CCNC(=O)[C@@H](C)NC[C@@H](C)N(C)C(=O)c1cc(CC)nn1C,333.4360000000001,0.17050000000000098,0.6649073974698063,2,5,0
